address,eth_balance
0x434587332cc35d33db75b93f4f27cc496c67a4db,5.6661824569941277e+22
0x2842eb68fcd748e92acb44d82a9e315fc7dc650d,5.5592236232625543e+22
0x7df24e36497dc9f6edea0a024a595a930049ee47,5.5320590852308504e+22
0x05576087d1ad92873da0a3b76e7105195935b0f5,5.5230015385473326e+22
0x7c2a289c0523e748c286a37570d2efc16d2c934e,5.5000553105575545e+22
0x6e29f75b0350fd0e85ee34a21ef94767b0186996,5.4445750124053258e+22
0x26bbffef29c50f607be20d98cb44fbfc64cc50df,5.383147721328107e+22
0xe3f53355cdbeaf2afafc4fc22be0a5c02570061a,5.324256379758554e+22
0xe5bb1523743d3a3c1eb6682060e3c3b0041db563,5.2449896014537967e+22
0x93610880fb8f4f2a33931b403990d3536f73de5f,5.2345551041600223e+22
0x1c7bfcad2ee0e50493fa6a22f4f06c0c9ec86e60,5.2345551039134224e+22
0x7ef857eb57071f1d659d43ea466591bf7c32dc3d,5.2345551037595149e+22
0xfe27a55a953b741daccd6606b560fc98edebf0ac,5.2345551037311874e+22
0xef6ddef90502aee5bb6bd9db326c853e44c42be1,5.2345551036444223e+22
0x33cba8530056037780bd7c3cd65d4d6ff1aebbf8,5.2345551033618227e+22
0xdfcc6d21f4494a81b605d67900bfb03290a00555,5.2345551025134224e+22
0xa56d5dc24797e7e7fe0981fa49302ec673992ef8,5.2345551020134228e+22
0xdd0817f5c09013ab1a78c7943d4baed6bcf64548,5.2236278733182647e+22
0x2fb6db0fc654925ae4aad32ef06aa2b4a5684dda,5.2236278727141247e+22
0xaacdeeab334a8fd81baae72bc34274d1e57227a7,5.2236278725503246e+22
0x0afbaf9dd49d5d7b32bc196a1d5fdf0a611f60ac,5.2236278725503246e+22
0xab90ed01b9f5e903b988856f09a14bb9f5413282,5.22362787251677e+22
0x991a7ff3cb20d5b5d6d9be5efec4e4c51cddad7a,5.21701297919203e+22
0x575c25b7a57187007870b777cd4bb44e93ac323c,5.2042499042175223e+22
0x256eec4293b8df9399a933a61f9ad23d26e17a2d,5.2042499042175223e+22
0x74e9b764e0b14a63d11e6c1439325986f76d0984,5.2042499042175223e+22
0xfeeffac279d9cbf3b01879ef1889927ba34e74d7,5.2042499042175223e+22
0x93d58cc117e0af304b5042a42c003d594500abee,5.2042499042175223e+22
0xe651e175046a8b812521711bf0a60f03654a2dbd,5.2042499042175223e+22
0xdc9f181faa64e9b9351ff4f6060682b7effcdf67,5.2042499042175223e+22
0x9e154e49ce0c4d1133f526f91b13893dcd5919d4,5.2042499042175223e+22
0xda78f7f430a98011ffdf4e01347482d17660005d,5.2042499042175223e+22
